User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIA23LFS7HSC5V5GDLS,2020-12-08T17:12:54Z,config.amazonaws.com,DescribeConfigurationRecorders,us-east-1,49.35.24.81,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.898 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation",AccessDenied,[],003047d8-ba59-4960-a763-9145bbe68abb,48b8daf4-7890-4f4f-ac42-b7bae86bcd0a,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T17:00:21Z,cloudtrail.amazonaws.com,GetEventSelectors,us-east-1,42.107.76.87,console.amazonaws.com,,[],6c266ab7-5ef3-45fd-811e-771ce28c3566,1fab3324-df68-4fba-8f76-1314c347bba8,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:59:57Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-1,42.107.76.87,console.amazonaws.com,,[],517c4303-0ff9-48c4-ba9c-b619214b2f84,39f22678-3270-4a6d-af26-2eab09d4b1d2,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:59:57Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,42.107.76.87,console.amazonaws.com,,[],1e9004ea-8cfc-4054-ad59-a55af62cb271,48f4df1b-3830-4558-92d9-584d2b244fea,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:59:45Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-1,42.107.76.87,console.amazonaws.com,,[],5d16333b-a782-4914-8570-6b3a91cd1952,c34654d5-23ac-4411-a422-db7a2fb13b50,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:59:44Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,42.107.76.87,console.amazonaws.com,,[],1f80a781-de35-4850-a728-6b99564443d4,dc78b28f-8f56-4f2b-aa82-a75300aaf521,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:59:30Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,42.107.76.87,console.amazonaws.com,,[],96034086-e13e-42ec-a05a-1d13b8e1c9ff,9f970f2a-ada5-4da3-a245-3b2d730a56a5,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:59:25Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,42.107.76.87,console.amazonaws.com,,[],fbb22879-3f03-4d56-8bd2-182fc3115d3c,115e4f9f-fede-4fe4-9993-86637d4c7119,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:59:22Z,cloudtrail.amazonaws.com,GetInsightSelectors,us-east-1,42.107.76.87,console.amazonaws.com,InsightNotEnabledException,[],323334bb-90ba-4188-97d0-aa346381b944,95e83729-0d7d-4396-99af-df45f0655b6e,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:58:49Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,42.107.76.87,console.amazonaws.com,,[],b52a019e-055b-47a2-8d07-169f139295fb,8edbff5b-a5be-4b5d-b606-a3bf287788b5,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:58:49Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-1,42.107.76.87,console.amazonaws.com,,[],c62c6baa-93bb-49cf-9879-4a0405a6a353,bfe8eada-04ef-4b2c-8659-1f122e9a1e74,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:58:33Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-1,42.107.76.87,console.amazonaws.com,,[],2a1da5ec-9c9a-454b-bc09-d22ed660bc09,80733e0d-0ae1-483c-847d-edb6336bbe92,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:58:33Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,42.107.76.87,console.amazonaws.com,,[],a3baff0f-bc96-498f-80ac-b6f0b0963565,9a64bc6c-49f2-4344-97af-732648a981ec,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:57:17Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,42.107.76.87,console.amazonaws.com,,[],91ca36dc-30e5-4f1f-9b8e-2de982ee55ce,51bccd67-9b7d-4aed-9cba-f2e2d535f72e,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:57:05Z,config.amazonaws.com,DescribeConfigurationRecorders,us-east-1,42.107.76.87,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.898 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation",AccessDenied,[],772ef8b8-25a3-4a56-b756-0abe7d9af56d,5eac2ca5-8dbd-4a37-8701-130be6a4fa5f,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:57:03Z,cloudtrail.amazonaws.com,ListTags,us-east-1,42.107.76.87,console.amazonaws.com,,[],9e656f34-a135-49d6-87eb-4a46ef29d66d,723c5ee0-e8fe-40b3-aa13-0b7c7f4e7609,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:56:36Z,cloudtrail.amazonaws.com,LookupEvents,us-east-1,42.107.76.87,console.amazonaws.com,,[],6c190360-3fe2-473f-984a-de45bf13842d,8a02799e-5044-47ad-b086-105c023e7891,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:56:22Z,cloudtrail.amazonaws.com,GetInsightSelectors,us-east-1,42.107.76.87,console.amazonaws.com,InsightNotEnabledException,[],8ab2bea9-8c20-4f75-8a88-15278eb065a8,05e8be0e-249f-4d6d-b0e4-588ac99878a4,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:56:20Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,42.107.76.87,console.amazonaws.com,,[],3484eb7b-0426-4844-b6b4-cdba0c1bebc9,19f3b9cc-4d6e-462b-a2d0-25f571b71c7e,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:56:20Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-1,42.107.76.87,console.amazonaws.com,,[],7d416a83-8ce0-47f3-8b14-10d696ffe8e7,980516cf-7e0a-40ef-9d26-bbbfa229c59c,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:56:03Z,cloudtrail.amazonaws.com,GetEventSelectors,us-east-1,42.107.76.87,console.amazonaws.com,,[],ab318ce6-39d1-45e5-bbe5-b4ad89c64928,6477e8bf-55f1-44d0-b692-22dda685aab0,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:55:53Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-1,42.107.76.87,console.amazonaws.com,,[],cc5e31a6-d523-4f01-b9a4-0c2bf6a274e8,9af47f67-1c1c-431e-a321-eedc1155317b,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:55:53Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,42.107.76.87,console.amazonaws.com,,[],99732b75-ef43-48cf-866a-f2d2ab46a36b,e7df8360-049a-40a3-9c86-eedc8953d6fe,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:55:37Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,42.107.76.87,console.amazonaws.com,,[],c5e3c4e6-ed86-4d31-ad53-13c40ec55100,001a21e9-695c-4d39-b2c3-00e925b808cf,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:55:37Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-1,42.107.76.87,console.amazonaws.com,,[],9ddbfd4e-b09c-47c0-ad4f-5266971fe6a6,c0c965ff-6d95-473e-8e0f-bb5fe259ea99,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:54:34Z,cloudtrail.amazonaws.com,GetEventSelectors,us-east-1,42.107.76.87,console.amazonaws.com,,[],bc706218-0f7a-493b-8c54-98eb6d0fa950,e2d76206-4a5d-4535-b004-73f5c440848b,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:53:02Z,cloudtrail.amazonaws.com,GetTrailStatus,us-east-1,42.107.76.87,console.amazonaws.com,,[],4f43b908-f9f3-4019-83d0-7e51428d14a8,8c2da1ef-9c96-473a-b58e-cd32ed5b99a1,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:53:02Z,cloudtrail.amazonaws.com,DescribeTrails,us-east-1,42.107.76.87,console.amazonaws.com,,[],1a583285-9633-4d57-b1c4-6b470eb73a05,da6955d3-a75b-4be1-b70a-597eed3879f0,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:52:46Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,42.107.76.87,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.898 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-745926752740-040148e0""}]",039F2BB9319FC8B8,0c8262ad-8bd9-4405-941b-37aa5fe120c2,false,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:52:46Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,42.107.76.87,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:745926752740:trail/Udacity_Trail""}]",22e3ebb3-16c7-4ab2-a665-06dafe5bb6ee,0f11ca8b-3060-40ef-8654-74aecc0b5174,false,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:52:46Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,42.107.76.87,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",5f4f2e65-abea-4d0e-854c-5e43581dacd6,5c77a8fc-139a-4e77-9457-18f1fac26bba,false,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:52:46Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,42.107.76.87,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:745926752740:trail/Udacity_Trail""}]",ab9f7b96-d4c7-498f-b7ae-730c6f6707b1,762af76e-a2b4-47cb-aca1-32435c0fcaf0,false,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:52:46Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,42.107.76.87,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:745926752740:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-745926752740-040148e0""}]",57ab9e10-455a-46eb-aa96-8baf4e1ca28d,99f5704e-5218-4ea2-bb1e-5982d93050e0,false,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:52:45Z,s3.amazonaws.com,GetBucketPolicy,us-east-1,42.107.76.87,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.898 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,[],26C319266E442BD3,c894574a-2617-48a4-b570-9f5eb9072d27,true,AwsApiCall,745926752740,Management
CloudTrail,ASIA23LFS7HSBG7D3IHT,2020-12-08T16:52:45Z,s3.amazonaws.com,GetBucketLocation,us-east-1,42.107.76.87,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.898 Linux/4.9.217-0.3.ac.206.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,[],B253142726FF90F6,e34dbe6c-5422-4ab5-ad48-cc23835e49b7,true,AwsApiCall,745926752740,Management
